id,age,male,female,pcomp_1,appear_1,motiv_1,pworth_1,gworth_1,parent_1,teach_1,mate_1,friend_1,affect_1,auton_1,pc1_1,pc2_1,pc3_1,pc4_1,mot1_1,mot2_1,mot3_1,mot4_1,mot5_1,psw1_1,psw2_1,psw3_1,psw4_1,ts1_1,ts2_1,ts3_1,ts4_1,ts5_1,enj1_1,enj2_1,enj3_1
1072,14.7,1,0,3.75,4,2.6,3.6,3.5,3.2,3.6,3.4,3.2,3.67,2.8,4,4,3,4,4,2,3,2,2,4,3,4,3,4,4,3,3,4,3,4,4
1073,13.8,0,1,1.25,1.75,3,2,2.75,2.4,2.4,3.2,4,1,3.2,1,1,1,2,4,4,2,3,2,2,2,2,2,3,2,1,2,4,1,1,1
1074,16.5,0,1,1.75,2,2.2,1.8,2,1.6,3.8,2.2,3,1.67,2.4,1,2,2,2,3,2,2,2,2,2,1,2,2,4,3,4,4,4,2,2,1
1075,14,1,0,2,2.75,2.75,2.2,3,3.33,3,2.75,3.75,2,3.8,2,2,2,2,.,1,4,3,3,2,3,2,2,3,.,3,.,3,2,2,2
1076,13.8,0,1,2,3,2.8,2.5,3,2,1.6,4,4,3,4,.,.,.,2,4,3,2,2,3,.,2,3,2,2,2,2,1,1,.,.,3
1077,16.6,.,.,3,1.5,2.4,3.4,3,2.4,3.6,2.6,3,2.67,2,4,3,3,2,4,2,2,3,1,2,4,4,4,3,3,4,4,4,2,4,2
1078,14.8,1,0,2.75,3.75,.,1.6,3,3,3,2.5,1,1.33,.,4,2,1,4,.,.,.,.,.,3,2,1,1,4,2,.,.,.,1,2,1
1079,14.5,1,0,3.75,3.75,.,3.8,3.5,2.6,2.8,4,3.2,1,.,3,4,4,4,.,.,.,.,.,4,3,4,4,3,3,3,1,4,1,1,1
1080,14,1,0,4,3.5,.,4,4,3.4,3.8,4,4,4,.,4,4,4,4,.,.,.,.,.,4,4,4,4,3,4,4,4,4,4,4,4
1081,14,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1082,14.1,0,1,2.25,2,.,2.4,2.5,2,2,2,3,2,.,3,2,2,2,.,.,.,.,.,3,2,2,3,2,2,.,.,.,2,2,2
1083,15,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1084,14,0,1,3.5,3.25,2.8,3.8,4,2.8,3.8,3.4,3.2,4,3.2,4,4,3,3,4,2,3,2,3,3,4,4,4,4,3,4,4,4,4,4,4
1085,13.9,0,1,2,2,2.6,2.2,2.5,3,3.2,3,3.2,3,2.6,2,2,2,2,3,2,3,3,2,2,3,2,2,4,4,3,3,2,3,3,3
1086,14.6,1,0,3,1.75,3.6,3.4,2.75,2.2,3.4,2.8,1.2,4,2.8,4,3,2,3,4,3,4,3,4,4,4,4,2,3,2,4,4,4,4,4,4
1087,14.1,1,0,2.25,2,.,2.8,1.5,2,.,1,3,3.33,.,3,3,1,2,.,.,.,.,.,4,1,1,4,.,.,.,.,.,3,3,4
1088,14,1,0,2.75,2.75,3,2.8,2.75,1,2,2.8,3.6,3,2,3,2,3,3,3,3,3,3,3,3,2,3,3,1,2,2,2,3,3,3,3
1089,14,1,0,3.5,3.75,2.8,3.6,3.5,3.6,3.4,3.2,3.4,3.67,2.8,4,4,3,3,3,2,3,3,3,4,4,4,3,3,4,3,4,3,4,4,3
1090,14.5,0,1,3,2.25,3.4,2.6,3.5,4,4,4,3,3,3.2,3,4,2,3,3,3,4,3,4,3,3,3,2,4,4,4,4,4,3,3,3
1091,13.7,0,1,2.25,2,2.6,2,2.5,3.6,2.6,3.4,4,3.33,2.4,2,2,2,3,3,3,3,2,2,2,2,2,2,2,3,3,3,2,3,4,3
1092,14.1,1,0,3.5,3.75,3.4,3.8,4,3.8,3.8,3.8,4,3,3.2,4,3,3,4,3,3,4,4,3,4,4,3,4,4,3,4,4,4,3,3,3
1093,15.6,0,1,3,2.25,3.2,2.4,2.75,3.4,3.2,3.4,3,3.67,2.4,4,3,3,2,2,3,4,4,3,3,2,3,2,2,4,4,3,3,4,4,3
1094,14.5,0,1,2.25,1.75,2.4,2.6,2.5,3.4,3,2.8,4,3,3.4,4,2,2,1,3,1,2,3,3,4,4,1,2,3,2,3,3,4,4,2,3
1095,14.2,0,1,3.25,3.75,3.8,3.4,3.75,3,3.8,3.8,4,2.67,2.8,3,3,3,4,4,3,4,4,4,4,3,4,3,3,4,4,4,4,3,3,2
1096,14.2,1,0,3,2,2.6,3,3,2.6,2.8,2.2,2.8,2.67,2.8,3,3,3,3,3,3,2,2,3,3,3,3,3,2,3,3,3,3,3,2,3
1097,15.5,1,0,2.5,2.5,2.8,3,2.75,2.2,2.8,2.6,2.4,2.33,2.8,1,3,3,3,3,2,3,3,3,4,3,3,2,3,2,3,3,3,1,3,3
1098,15.6,0,1,2.5,2.5,2.4,2.8,3,2.8,2.6,2.4,2.6,3,2.2,2,3,3,2,2,2,3,3,2,3,3,3,2,2,3,3,3,2,3,3,3
1099,14,0,1,1.5,1.5,3,2.4,2.5,3.8,3.2,3,4,1,2.8,1,2,1,2,2,3,3,4,3,3,2,2,2,3,4,4,2,3,1,1,1
1100,16.8,.,.,1,1.5,1.4,2.2,2,1.8,2.2,2.4,2.8,1,3.6,1,1,1,1,2,1,2,1,1,2,2,2,3,2,2,2,2,3,1,1,1
1101,13.6,1,0,2.5,4,2.8,3,4,2.8,3,3,3,3,2.8,3,2,3,2,3,2,3,3,3,4,2,3,3,3,3,3,3,3,3,3,3
1102,14.2,0,1,2.5,2.25,2.4,2.4,2.5,3,2.4,3.4,2.8,2.67,3,2,2,3,3,3,3,2,2,2,2,3,2,2,4,3,2,1,2,3,2,3
1103,14.6,0,1,1.5,1.25,2,1,1,3.2,4,2.4,3.2,1.67,2.6,2,1,1,2,3,1,1,1,4,1,1,1,1,4,4,4,4,4,2,2,1
1104,14.5,1,0,4,4,2.6,4,4,3.6,3.4,4,4,3.33,4,4,4,4,4,3,1,3,4,2,4,4,4,4,2,4,4,3,4,4,3,3
1105,14.5,1,0,3.75,3.25,2.4,3.6,4,4,3.4,3.4,3,4,3.4,4,4,4,3,3,1,3,1,4,4,4,3,4,4,4,4,2,3,4,4,4
1106,13.8,1,0,4,4,3.8,4,4,4,3.2,3.8,3.4,4,3.2,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,1,4,4,4
1107,13.8,1,0,2.25,3.25,2.8,2.4,3.75,3.2,3,2.6,4,2,2.8,3,2,2,2,3,2,3,3,3,3,2,3,2,3,3,3,3,3,3,1,2
1108,14.4,1,0,2.75,3.5,3.4,4,3.75,4,2.6,3.4,4,2.67,4,3,3,3,2,4,1,4,4,4,4,4,4,4,1,4,1,3,4,3,2,3
