sex,age,height,weight,team,year,season,sport,medaled
0,23,182,70,Malaysia,2016,Summer,Sailing,FALSE
0,28,194,92,Egypt,2016,Summer,Volleyball,FALSE
1,17,162,60,Samoa,2016,Summer,Swimming,FALSE
0,25,176,80,Angola,2016,Summer,Sailing,FALSE
1,25,171,62,Russia,2016,Summer,Equestrianism,FALSE
0,28,175,75,South Africa,2016,Summer,Rugby Sevens,TRUE
0,32,188,88,Greece,2016,Summer,Water Polo,FALSE
0,27,193,104,South Africa,2016,Summer,Rugby Sevens,TRUE
0,35,187,93,Italy,2016,Summer,Rowing,FALSE
1,23,164,66,France,2016,Summer,Judo,TRUE
1,21,172,NA,Norway,2016,Summer,Sailing,FALSE
1,21,168,NA,Norway,2016,Summer,Sailing,FALSE
0,21,193,75,Armenia,2016,Summer,Athletics,FALSE
0,24,202,90,France,2016,Summer,Swimming,FALSE
0,24,168,70,Portugal,2016,Summer,Football,FALSE
0,31,181,76,Brazil,2016,Summer,Fencing,FALSE
1,24,163,55,Venezuela,2016,Summer,Beach Volleyball,FALSE
1,38,165,50,Spain,2016,Summer,Athletics,FALSE
1,23,173,64,Colombia,2016,Summer,Athletics,FALSE
0,23,191,72,Colombia,2016,Summer,Football,FALSE
0,41,170,72,Chile,2016,Summer,Golf,FALSE
0,32,189,82,Spain,2016,Summer,Water Polo,FALSE
1,31,170,67,Spain,2016,Summer,Handball,FALSE
1,23,167,50,Spain,2016,Summer,Rhythmic Gymnastics,TRUE
1,20,165,66,Cuba,2016,Summer,Athletics,FALSE
0,27,202,95,Mexico,2016,Summer,Volleyball,FALSE
1,20,160,59,Colombia,2016,Summer,Archery,FALSE
1,20,160,59,Colombia,2016,Summer,Archery,FALSE
0,19,170,60,Mexico,2016,Summer,Football,FALSE
1,30,164,58,Argentina,2016,Summer,Hockey,FALSE
0,23,174,66,Paraguay,2016,Summer,Table Tennis,FALSE
1,21,147,47,Indonesia,2016,Summer,Weightlifting,TRUE
1,25,170,63,Canada,2016,Summer,Athletics,FALSE
0,41,189,80,Germany,2016,Summer,Equestrianism,FALSE
0,41,189,80,Germany,2016,Summer,Equestrianism,TRUE
0,29,179,72,Indonesia,2016,Summer,Badminton,TRUE
1,34,160,62,Iran,2016,Summer,Shooting,FALSE
1,17,150,63,Egypt,2016,Summer,Weightlifting,FALSE
0,23,192,68,Egypt,2016,Summer,Taekwondo,FALSE
0,25,182,56,Canada,2016,Summer,Athletics,FALSE
0,25,182,56,Canada,2016,Summer,Athletics,FALSE
1,20,170,57,Egypt,2016,Summer,Synchronized Swimming,FALSE
1,20,170,57,Egypt,2016,Summer,Synchronized Swimming,FALSE
0,21,NA,NA,Bangladesh,2016,Summer,Athletics,FALSE
1,28,165,58,Cote d'Ivoire,2016,Summer,Athletics,FALSE
1,28,165,58,Cote d'Ivoire,2016,Summer,Athletics,FALSE
1,35,169,60,Namibia,2016,Summer,Shooting,FALSE
0,28,173,72,Indonesia,2016,Summer,Badminton,FALSE
1,18,163,58,United States,2016,Summer,Trampolining,FALSE
1,24,160,64,Trinidad and Tobago,2016,Summer,Athletics,FALSE
1,24,160,64,Trinidad and Tobago,2016,Summer,Athletics,FALSE
1,24,160,64,Trinidad and Tobago,2016,Summer,Athletics,FALSE
1,14,168,54,China,2016,Summer,Swimming,FALSE
1,14,168,54,China,2016,Summer,Swimming,FALSE
0,27,178,83,France,2016,Summer,Rugby Sevens,FALSE
0,30,192,102,Italy,2016,Summer,Water Polo,TRUE
0,22,197,91,Romania,2016,Summer,Rowing,FALSE
1,33,177,60,Lithuania,2016,Summer,Athletics,FALSE
1,27,172,74,Italy,2016,Summer,Water Polo,TRUE
0,27,183,75,Germany,2016,Summer,Canoeing,FALSE
0,27,180,87,Great Britain,2016,Summer,Athletics,FALSE
1,27,173,68,Great Britain,2016,Summer,Sailing,FALSE
1,28,173,68,Singapore,2016,Summer,Rowing,FALSE
0,23,190,76,Algeria,2016,Summer,Football,FALSE
0,23,180,66,Morocco,2016,Summer,Cycling,FALSE
0,27,191,75,Morocco,2016,Summer,Wrestling,FALSE
0,26,167,65,France,2016,Summer,Gymnastics,FALSE
0,26,167,65,France,2016,Summer,Gymnastics,FALSE
1,37,158,50,Algeria,2016,Summer,Athletics,FALSE
0,22,190,NA,Nigeria,2016,Summer,Boxing,FALSE
0,20,172,79,Nigeria,2016,Summer,Football,TRUE
0,26,190,80,Sweden,2016,Summer,Football,FALSE
0,20,180,62,Canada,2016,Summer,Athletics,TRUE
1,22,166,60,France,2016,Summer,Athletics,FALSE
1,23,171,51,Turkey,2016,Summer,Athletics,FALSE
0,28,176,60,Turkey,2016,Summer,Athletics,FALSE
0,25,192,125,Turkey,2016,Summer,Wrestling,TRUE
1,23,170,69,Ukraine,2016,Summer,Canoeing,FALSE
0,31,175,90,Iran,2016,Summer,Wrestling,FALSE
0,21,165,56,Uzbekistan,2016,Summer,Boxing,TRUE
0,28,187,79,Russia,2016,Summer,Fencing,FALSE
0,28,187,79,Russia,2016,Summer,Fencing,TRUE
1,22,163,61,United States,2016,Summer,Athletics,TRUE
1,28,191,79,United States,2016,Summer,Volleyball,TRUE
0,27,188,85,Nigeria,2016,Summer,Canoeing,FALSE
0,44,168,65,Japan,2016,Summer,Shooting,FALSE
1,28,160,49,Morocco,2016,Summer,Athletics,FALSE
1,28,160,49,Morocco,2016,Summer,Athletics,FALSE
0,33,175,58,Turkey,2016,Summer,Athletics,FALSE
0,30,189,83,Nigeria,2016,Summer,Basketball,FALSE
0,30,187,80,Nigeria,2016,Summer,Football,TRUE
0,19,188,80,Egypt,2016,Summer,Swimming,FALSE
0,19,188,80,Egypt,2016,Summer,Swimming,FALSE
0,25,180,78,Tunisia,2016,Summer,Sailing,FALSE
1,26,183,74,United States,2016,Summer,Fencing,TRUE
1,19,NA,NA,Bangladesh,2016,Summer,Swimming,FALSE
1,21,159,50,Bangladesh,2016,Summer,Athletics,FALSE
0,25,177,80,Iraq,2016,Summer,Judo,FALSE
0,33,NA,NA,Individual Olympic Athletes,2016,Summer,Shooting,FALSE
1,18,182,NA,Oman,2016,Summer,Athletics,FALSE
0,25,165,49,Saudi Arabia,2016,Summer,Athletics,FALSE
0,28,174,74,Saudi Arabia,2016,Summer,Shooting,FALSE
0,28,174,74,Saudi Arabia,2016,Summer,Shooting,FALSE
1,22,170,57,Palestine,2016,Summer,Swimming,FALSE
0,45,178,82,Qatar,2016,Summer,Shooting,FALSE
0,21,193,89,Qatar,2016,Summer,Equestrianism,FALSE
0,21,193,89,Qatar,2016,Summer,Equestrianism,FALSE
1,24,160,57,United Arab Emirates,2016,Summer,Weightlifting,FALSE
1,26,160,75,Oman,2016,Summer,Shooting,FALSE
1,18,162,53,United Arab Emirates,2016,Summer,Swimming,FALSE
0,31,192,86,Saudi Arabia,2016,Summer,Athletics,FALSE
0,49,178,95,Individual Olympic Athletes,2016,Summer,Shooting,TRUE
0,22,163,69,Saudi Arabia,2016,Summer,Weightlifting,FALSE
0,30,NA,NA,Individual Olympic Athletes,2016,Summer,Shooting,FALSE
1,16,160,55,Qatar,2016,Summer,Athletics,FALSE
0,28,173,67,Oman,2016,Summer,Athletics,FALSE
0,31,168,85,United Arab Emirates,2016,Summer,Shooting,FALSE
0,22,166,64,Jordan,2016,Summer,Boxing,FALSE
0,22,181,75,Iraq,2016,Summer,Rowing,FALSE
1,21,160,45,Bahrain,2016,Summer,Athletics,FALSE
0,31,173,68,Oman,2016,Summer,Shooting,FALSE
0,17,190,86,Qatar,2016,Summer,Swimming,FALSE
1,17,167,60,Bahrain,2016,Summer,Swimming,FALSE
0,39,176,88,United Arab Emirates,2016,Summer,Shooting,FALSE
0,38,164,105,Individual Olympic Athletes,2016,Summer,Shooting,FALSE
1,29,152,45,Saudi Arabia,2016,Summer,Fencing,FALSE
0,40,163,60,Saudi Arabia,2016,Summer,Athletics,FALSE
0,52,183,83,Individual Olympic Athletes,2016,Summer,Shooting,TRUE
0,37,180,95,Qatar,2016,Summer,Handball,FALSE
0,34,177,86,Qatar,2016,Summer,Equestrianism,FALSE
0,34,177,86,Qatar,2016,Summer,Equestrianism,FALSE
0,20,175,62,United Arab Emirates,2016,Summer,Swimming,FALSE
1,23,NA,NA,Palestine,2016,Summer,Athletics,FALSE
0,25,NA,NA,Individual Olympic Athletes,2016,Summer,Fencing,FALSE
0,23,172,61,Morocco,2016,Summer,Athletics,FALSE
0,33,194,73,Qatar,2016,Summer,Equestrianism,FALSE
0,33,194,73,Qatar,2016,Summer,Equestrianism,FALSE
0,27,NA,NA,United Arab Emirates,2016,Summer,Athletics,FALSE
0,20,178,68,Iraq,2016,Summer,Football,FALSE
0,25,181,72,Egypt,2016,Summer,Fencing,FALSE
1,30,164,55,Spain,2016,Summer,Sailing,FALSE
1,32,179,58,Morocco,2016,Summer,Athletics,FALSE
0,23,174,70,Iran,2016,Summer,Table Tennis,FALSE
0,24,170,67,Iran,2016,Summer,Table Tennis,FALSE
0,24,173,62,France,2016,Summer,Cycling,FALSE
0,24,173,62,France,2016,Summer,Cycling,FALSE
0,24,188,110,Spain,2016,Summer,Water Polo,FALSE
0,25,178,67,Spain,2016,Summer,Triathlon,FALSE
0,22,202,87,Cuba,2016,Summer,Taekwondo,FALSE
0,36,174,65,Argentina,2016,Summer,Equestrianism,FALSE
0,36,174,65,Argentina,2016,Summer,Equestrianism,FALSE
0,35,172,67,Switzerland,2016,Summer,Cycling,FALSE
1,30,172,62,Turkey,2016,Summer,Basketball,FALSE
