id,PCOMP,APPEAR,PARENT,TEACH,MATE,FRIEND,MOTIV,GSW,PSW,AFFECT
1129,3.5,3,3.6,3.2,3.2,2.2,2.6,3,3.2,4
1130,3,2.5,1.6,2.8,2.8,2.6,2.6,3,3.2,4
1131,3,3.75,3.8,2.4,3.6,4,3.4,3.5,3.4,3
1132,3,4,4,3.4,3.8,2.2,2.8,4,3.2,2.33
1133,3.5,2.75,3.8,2.4,2.6,2.8,3,3.75,3.8,3
1134,2.75,3.75,4,4,3,3.6,3.6,3.75,3.6,3.33
1135,3,3,3.2,3.2,2.6,2.8,.,3.75,3.6,2
1136,2.25,3,3.2,3,3.2,3.8,3.2,3.5,3.5,3
1137,2.75,3,3.8,3.4,3.2,4,3.4,4,3.8,3.33
1138,2.75,3.75,3.6,3.8,3.4,3.4,2.4,3.5,2.8,4
1139,3.25,2,4,3,2.8,3.8,2.8,2.5,3,2.67
1140,2,1.5,3.2,3.2,3.2,1.8,2.6,3.67,2.75,3
1141,3.25,2,2.6,2.2,2.6,2.8,2.6,2.75,3,2.33
1142,3.75,4,3.2,3.6,3.6,3.2,4,4,4,4
1143,2.5,2.5,3.8,3,3.4,3.2,3.6,3,2.6,4
1144,3,3.25,3.8,3,3,3.8,3.8,3.5,3.2,4
1145,3.5,3.75,3.2,3.4,3.4,3,3.2,3.75,4,3.67
1146,2.25,2.75,4,3.8,3,4,3,3,2.6,2
1147,2.75,2.75,3.4,3,3,3.6,2.8,2.5,3,2
1148,4,4,4,3.4,4,4,3.4,4,4,3
1149,2.25,2.25,2.8,3.8,3.4,4,2.8,3,2.2,2
1150,3.25,2.25,3,3.4,2.6,3.8,3.2,2.5,2.2,3.67
1151,2,2.75,3.8,3.2,3.6,3.6,3,3.25,2.8,3
1152,2,2.5,3.8,3,3,3.8,2.8,3,2.8,1.33
1153,2,2,3,3.4,3.4,3.6,2.8,3.33,2.5,1
1154,4,3.75,3.2,2.4,3.6,4,2.4,3.25,4,4
1155,2.25,2.5,2.8,4,3.4,4,2.2,3.5,2.4,2.67
1156,2.75,3,4,4,3.6,4,4,3.25,3,3.33
1157,2.75,2,4,3.2,3.6,4,3.2,2.75,2.4,3
1158,3,3.75,3,3.4,4,4,3.6,3.75,3.8,3.33
1159,3,3,4,3.8,3.2,2.8,2.8,2.75,2.8,3
1160,2.25,2,1.8,2.4,2.8,3.2,2.4,2.75,2,2
1164,2.5,2,3.5,3.33,3.5,3.67,2.2,2.5,2.8,3
1165,3.75,3.5,3,3.33,4,3,3.4,4,2.8,4
1166,1.75,3,4,2.6,2.8,3.8,2.6,3.25,2.4,2.67
1167,3,3.5,4,4,4,3.4,3.4,4,3.6,2.67
1168,3,3,4,3.2,3.4,3.6,2.6,3,3,1.67
1169,3.25,3.25,3.8,3.4,2.6,2.4,2.4,3.25,3.2,2.33
1170,1,1,2,3,2.2,4,2,2,1,1.67
1171,3,3.5,3.8,4,4,4,3.4,4,3.4,2.67
1172,2,2.25,3,3,2.4,2.4,2.6,2.5,3.2,3
1173,2.75,3.75,2.2,2.2,2.4,1.2,1.8,3.25,2.6,3.33
1174,3.5,3.5,3.2,3,2.8,3.6,2.6,3.75,3.4,3.33
1175,3.25,4,3,2.5,3.25,2.75,.,4,3.2,2.67
1176,3.75,2.5,3.8,3,4,4,3.2,3.75,3.8,3.33
1177,4,4,3.2,2.8,2.8,2.8,2.4,4,4,4
1178,3.75,2.5,3.6,3.2,3.4,3.2,3.2,2.5,4,3.33
1179,3.25,3.25,3,3,3,3,2.8,2.75,2.6,3
1180,3.75,4,2.4,2.6,3,2.4,2.4,3.75,3.6,2.67
1181,1.75,2,4,2.8,3.6,4,3.6,3,2,1
1182,2,3.25,3.4,3.4,2.4,2.2,2.4,2,2.8,2
1183,3.25,3.75,3.6,3.8,4,3.8,2.6,3.75,3.6,2.33
1184,2.5,2.75,3.2,2.6,2.4,2.8,2.6,3,2.4,2.33
1185,2.75,2.5,1.6,2.2,3.2,2,2.6,3.25,1.8,1
1186,4,2.25,4,3,2.6,3.8,3.8,2.75,3.8,3.67
1187,1.5,1.25,4,3,3.4,4,2,4,1.6,1
1188,2.25,3,4,3.4,2.8,2.6,3,3.25,3,3
