id,pc1,pc2,pc3,pc4,mot1,mot2,mot3,mot4,pc1_1,pc2_1,pc3_1,pc4_1,mot1_1,mot2_1,mot3_1,mot4_1,mot5_1,pc1_2,pc2_2,pc3_2,pc4_2,mot1_2,mot2_2,mot3_2,mot4_2,mot5_2,pc1_3,pc2_3,pc3_3,pc4_3,mot1_3,mot2_3,mot3_3,mot4_3,mot5_3,pc1_4,pc2_4,pc3_4,pc4_4,mot1_4,mot2_4,mot3_4,mot4_4,mot5_4,male,female
1073,1.25,1.25,.,3,3,2.2,.,2.2,1,1,1,2,4,4,2,3,2,1,2,1,1,4,4,1,1,1,.,.,.,.,.,.,.,.,.,3,3,3,3,3,1,2,3,2,0,1
1074,1.75,.,2.5,2,2.2,.,3,2,1,2,2,2,3,2,2,2,2,.,.,.,.,.,.,.,.,.,4,3,2,1,4,2,3,3,3,2,2,2,2,2,2,2,2,2,0,1
1075,2,.,2,1.75,2.75,.,3.6,3.2,2,2,2,2,.,1,4,3,3,.,.,.,.,.,.,.,.,.,2,2,2,2,4,3,4,3,4,2,2,2,1,4,2,3,3,4,1,0
1076,2,2.75,2.75,3,2.8,2.4,2.6,2.8,.,.,.,2,4,3,2,2,3,3,2,3,3,4,2,1,2,3,3,2,3,3,3,3,2,2,3,3,3,3,3,3,2,3,3,3,0,1
1077,3,.,.,.,2.4,.,.,.,4,3,3,2,4,2,2,3,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1078,2.75,.,2.5,.,.,.,2,.,4,2,1,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,1,4,1,3,1,4,1,1,.,.,.,.,.,.,.,.,.,1,0
1079,3.75,3,4,3.25,.,2.6,2.8,2,3,4,4,4,.,.,.,.,.,1,4,3,4,3,4,3,1,2,4,4,4,4,4,1,3,4,2,4,4,2,3,3,1,2,1,3,1,0
1080,4,.,4,4,.,.,3.4,3.4,4,4,4,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,4,4,4,1,4,4,4,4,4,4,4,4,1,4,4,4,1,0
1081,.,.,.,3.25,.,.,.,3.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,4,1,4,1,4,4,4,1,0
1082,2.25,2.5,3,2.75,.,3.2,3,2.6,3,2,2,2,.,.,.,.,.,3,2,2,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,3,0,1
1083,.,.,.,4,.,.,.,3.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,4,4,4,1,4,4,4,1,0
1084,3.5,3.5,4,3.75,2.8,3.8,3.8,4,4,4,3,3,4,2,3,2,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,0,1
1085,2,1.75,2,2,2.6,2.8,3,3,2,2,2,2,3,2,3,3,2,2,2,2,1,3,3,3,2,3,2,2,2,2,3,2,4,3,3,2,2,2,2,4,2,3,3,3,0,1
1086,3,2.5,3.25,3,3.6,2.8,3.6,3.8,4,3,2,3,4,3,4,3,4,3,4,1,2,3,3,2,3,3,3,4,3,3,4,3,4,3,4,3,4,3,2,4,4,4,3,4,1,0
1087,2.25,3.5,3.25,2.25,.,2,1.6,2.6,3,3,1,2,.,.,.,.,.,3,4,3,4,4,1,2,2,1,3,4,3,3,3,1,2,1,1,3,2,1,3,4,2,3,2,2,1,0
1088,2.75,3,.,3.25,3,3,.,3.2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.,.,.,.,4,3,3,3,4,3,3,3,3,1,0
1089,3.5,2.5,3,3,2.8,3.2,2.8,2.8,4,4,3,3,3,2,3,3,3,3,3,2,2,3,2,3,4,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,1,0
1090,3,3,3,3.25,3.4,4,4,4,3,4,2,3,3,3,4,3,4,3,3,3,3,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,4,3,3,4,4,4,4,4,0,1
1091,2.25,1.75,2.75,2.5,2.6,2.6,2.6,2.6,2,2,2,3,3,3,3,2,2,1,1,4,1,3,2,3,3,2,4,1,3,3,2,3,4,2,2,2,3,3,2,3,2,2,3,3,0,1
1092,3.5,4,3.5,3.5,3.4,3,2.4,2.8,4,3,3,4,3,3,4,4,3,4,4,4,4,3,1,4,3,4,4,2,4,4,3,1,3,3,2,4,3,3,4,3,2,3,3,3,1,0
1093,3,.,3.25,3,3.2,.,4,4,4,3,3,2,2,3,4,4,3,.,.,.,.,.,.,.,.,.,3,3,4,3,4,4,4,4,4,3,3,3,3,4,4,4,4,4,0,1
1094,2.25,2,3,3.25,2.4,2.8,3.8,3.8,4,2,2,1,3,1,2,3,3,2,3,2,1,3,2,3,3,3,4,4,2,2,4,4,4,3,4,4,4,3,2,4,3,4,4,4,0,1
1095,3.25,3.25,3.25,3,3.8,3.8,3,3.4,3,3,3,4,4,3,4,4,4,3,3,3,4,4,3,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,4,3,0,1
1096,3,2.75,3,3.75,2.6,3,3,3,3,3,3,3,3,3,2,2,3,3,3,2,3,3,2,3,3,4,3,3,3,3,4,1,3,3,4,4,4,4,3,4,1,3,3,4,1,0
1097,2.5,3,2.5,2.75,2.8,2.4,2.2,2.4,1,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,2,2,3,2,2,3,3,2,2,2,2,3,3,2,3,3,2,2,2,3,1,0
1098,2.5,.,.,.,2.4,.,.,.,2,3,3,2,2,2,3,3,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,1
1099,1.5,2,.,.,3,2.6,.,.,1,2,1,2,2,3,3,4,3,2,2,2,2,2,3,3,3,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,1
1100,1,.,.,.,1.4,.,.,.,1,1,1,1,2,1,2,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
