 1025  0 15 3.25 2.75 2.50 2.80 2.00 3.00 3.00 2.50  .   2.67  .   2.50 1.00 2.75 2.20 3.00 2.20 2.80 3.00 3.20 2.60 3.00 2.80 2.80 3.50 2.50 3.50 3.20 2.60 2.40 2.80 1.80 2.60 1.33 2.40 2.40 3.75 2.75 4.00 4.00 3.00 3.20 2.80 2.60 2.40 2.33 3.20 2.20 3.00
 1026  0 14 2.25 2.50 3.25 3.80 4.00 3.80 1.60 3.20 3.40 3.67 2.80  .    .    .    .    .    .    .    .    .    .    .    .    .   3.50 2.50 3.50 3.40 3.80 4.00 2.60 4.00 3.00 4.00 3.20 3.00 3.00 2.50 3.50 3.40 3.20 4.00 2.40 3.60 3.40 3.67 3.00 3.40 1.40
 1027  . 14 2.75 3.00 2.00 2.40 2.40 1.40 1.80 3.00 2.60 2.67 2.20  .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .  
 1028  0 15 3.25 3.00 2.50 3.20 4.00 3.00 3.00 3.00 2.80 2.00 2.80  .    .    .    .   3.20 2.60 3.00 3.00 2.80 2.60  .   3.00 3.00 3.00 2.75 3.00 3.00 3.00 2.80 3.00 3.00 2.60 3.00 2.80 3.00 3.00 2.50 3.00 3.20 3.60 2.80 3.00 3.00 3.00 3.00 2.80 3.00 2.80
 1029  1 17 1.00 1.25 1.50 1.40 3.80 3.20 3.20 2.80 2.40 1.00 3.20 1.50 1.50 2.00 1.80 2.80 3.00 3.20 2.80 2.60 3.60 1.33 3.40 3.40  .    .    .    .    .    .    .    .    .    .    .    .   3.00 4.00 3.75 3.80 4.00 4.00 4.00 4.00 2.20 4.00 4.00 4.00 3.20
 1030  0 15 3.00 3.25 3.00 3.20 3.80 2.60 3.00 3.20 2.20 2.33 2.80 3.00 2.75 3.00 3.00 3.00 2.80 2.80 3.00 2.60 3.00 2.67 3.00 3.00 3.00 3.00 3.00 3.00 3.40 3.00 2.80 3.00 2.60 2.33 2.60 3.00 3.00 3.00 3.00 3.00 3.00 2.80 2.80 3.00 2.80 3.00 2.00 3.00 3.00
 1031  0 14 3.25 3.50 3.00 2.80 2.40 2.40 2.40 2.40 2.40 2.67 2.40 2.50 2.25 2.75 2.40 3.00 2.60 2.40 2.80 2.60 2.40 2.33 2.80 2.80  .    .    .    .    .    .    .    .    .    .    .    .   2.50 2.75 2.25 2.20 3.00 2.40 2.00 2.40 2.20 1.33 2.20 3.40 1.40
 1032  0 15 4.00 3.75 3.75 4.00 4.00 4.00 3.80 4.00 4.00 4.00 3.40 4.00 4.00 4.00 4.00 4.00 4.00 4.00 4.00 3.20 2.80 4.00 4.00 4.00 4.00 4.00 4.00 4.00 4.00 4.00 4.00 4.00 3.20 4.00 3.40 4.00 4.00 4.00 4.00 4.00 4.00 3.40 4.00 3.40 4.00 4.00 3.40 4.00 4.00
 1033  0 14 2.50 2.50 2.75 2.40 2.80 3.80 3.20 3.00 2.60 1.33 3.40 2.50 3.00 3.00 2.80 3.60 3.00 3.00 3.00 2.60 3.20 2.00 2.60 2.60 2.75 3.00 3.00 2.60 3.40 3.40 3.00 3.20 2.20 2.00 3.00 2.40 3.00 2.75 2.75 2.80 3.40 3.00 2.60 2.40 2.80 2.33 3.20 2.80 2.80
 1034  0 15 2.50 2.50 3.25 2.80 3.60 1.80 3.00 4.00 2.80 2.67 3.00 2.50 2.50 2.50 3.20 3.60 2.80 3.20 3.80 3.20 3.00 2.67 2.40 2.40  .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .  
 1035  0 15 3.00 2.75 3.00 2.80 3.80 2.40 3.40 2.80 2.60 2.67 3.40 3.00 2.50 2.75 2.00 3.40 2.80 3.00 3.00 2.60 2.80 2.00 2.80 2.80 3.00 2.50 3.00 2.60 3.80 3.00 3.20 3.00 2.80 3.00 3.40 3.40 3.00 2.25 3.00 2.00 3.60 2.60 3.20 3.00 3.00 3.00 3.00 3.00 3.60
 1036  1 15 2.00 2.00 2.50 2.00 1.00 2.60 3.60 4.00 2.40 1.67 2.80 2.75 2.25 2.25 1.80 1.00 2.80 3.60 4.00 2.80 2.60 2.33 3.40 3.40 2.50 2.00 2.75 1.60 1.00 2.00 3.60 3.40 2.40 1.33 3.00 3.20  .    .    .    .    .    .    .    .    .    .    .    .    .  
 1037  0 15 3.25 4.00 4.00 4.00 3.20 3.00 3.80 4.00 3.40 2.33 2.20 3.75 3.75 3.25 3.80 4.00 4.00 3.80 3.80 2.60 1.80 4.00 2.40 2.40 3.50 3.50 3.75 3.80 3.40 4.00 4.00 4.00 2.80 4.00 1.20 3.60 3.25 4.00 3.00 3.40 1.60 1.80 1.60 2.00 3.00 2.33 1.40 3.20 3.80
 1038  0 14 4.00 3.00 3.75 3.40 3.80 2.20 3.00 4.00 3.60 4.00 3.00 4.00 3.25 3.00 3.40 3.40 2.80 3.20 3.80 3.20 3.00 4.00 2.60 2.60 4.00 3.00 3.50 3.40 3.60 2.40 3.40 3.00 3.60 4.00 3.40 2.40 4.00 3.00 3.00 3.00 3.40 1.60 3.00 3.60 2.20 1.67 3.00 2.20 3.40
 1039  1 14 3.75 3.75 4.00 4.00 3.80 4.00 3.80 4.00 3.20 3.00 3.20 3.75 3.25 3.50 4.00 4.00 4.00 4.00 4.00 3.80 3.20 3.33 3.60 3.60 3.75 3.50 4.00 4.00 4.00 4.00 4.00 4.00 3.80 3.33 3.20 3.40 3.75 4.00 4.00 4.00 4.00 4.00 4.00 4.00 4.00 4.00 3.40 4.00 3.40
 1040  1 15 1.00 1.00 1.00 1.20 1.80 1.40 1.00 1.00 1.60 1.00 1.60  .    .    .    .    .    .    .    .    .    .    .    .    .   1.75 1.00 1.00 1.00 1.60 2.00 1.00 1.80 1.80 1.00 1.60 2.00  .    .    .    .    .    .    .    .    .    .    .    .    .  
 1041  1 18 2.75 3.50 4.00 3.00 3.40 3.20 3.40 4.00 3.00 1.00 3.80  .    .    .    .    .    .    .    .    .    .    .    .    .   3.25 4.00 3.75 3.20 2.80 2.80 3.20 2.80 2.80 2.33 4.00 3.60 2.75 2.75 2.75 3.00 3.40 2.80 2.80 2.60 2.20 1.33 3.40 2.20 1.80
 1042  0 15 2.25 3.50 4.00 2.60 3.80 3.00 3.00 3.40 3.20 1.67 2.80 3.00 3.25 3.75 3.00 4.00 3.00 3.00 3.40 3.20 3.20 3.00 3.60 3.60 3.00 3.25 3.50 3.60 3.60 3.40 3.40 3.00 3.20 3.33 3.00 3.40 3.25 3.25 3.25 3.20 3.40 3.00 3.20 3.00 3.20 3.00 3.00 3.40 1.60
 1043  1 15 2.00 1.25 2.00 2.00 2.60 2.60 2.60 2.80 2.00 2.00 2.40 2.00 2.00 2.25 2.20 3.00 2.20 2.80 2.80 2.40 2.80 2.33 2.20 2.20  .    .    .    .    .    .    .    .    .    .    .    .   2.00 2.00 2.25 2.00 3.00 2.60 3.00 3.00 2.60 2.33 2.80 2.60 2.60
